Source:ID,SourceDoi,:LABEL
s000001,j.jallcom.2011.12.022,LiteratureSource
s000002,j.msea.2015.12.101,LiteratureSource
s000003,j.msea.2011.11.070,LiteratureSource
s000004,j.matdes.2020.109139,LiteratureSource
s000005,j.vacuum.2017.10.033,LiteratureSource
s000006,j.jmatprotec.2011.10.009,LiteratureSource
s000007,j.jallcom.2019.06.123,LiteratureSource
