:START_ID,:END_ID,:TYPE
m0000001,p0000001,Possess 
m0000002,p0000001,Possess 
m0000003,p0000001,Possess 
m0000004,p0000001,Possess 
m0000005,p0000001,Possess 
m0000006,p0000001,Possess 
m0000007,p0000001,Possess 
