:START_ID,:END_ID,:TYPE
m0000001,s000001,Source
m0000002,s000002,Source
m0000003,s000003,Source
m0000004,s000004,Source
m0000005,s000005,Source
m0000006,s000006,Source
m0000007,s000007,Source
