:START_ID,:END_ID,:type
m0000001,v0000001,Value
m0000002,v0000002,Value
m0000003,v0000003,Value
m0000004,v0000004,Value
m0000005,v0000005,Value
m0000006,v0000006,Value
m0000007,v0000007,Value
