Material:ID,Material,:LABEL
e0000004,Ag-Ti/TiB2,EnhancedBody
e0000008,AlA,EnhancedBody
e0000010,Al-Mg,EnhancedBody
e0000017,AlN,EnhancedBody
e0000018,B4C,EnhancedBody
e0000019,diamond,EnhancedBody
e0000020,HDPE,EnhancedBody
e0000059,Fe,EnhancedBody
e0000061,Ni-Si,EnhancedBody
e0000073,Gr,EnhancedBody
