"id","title","liter_type","venue","pub_time","vol","no","page","author","affiliation","abstract","keywords","doi","upload","creator_id"
"1","test","pdf","","","","","","","","","","","uploads/Recent-development-and-application-products-of-bulk-glass_2011_Acta-Material.pdf","1"
"2","test2","pdf","","","","","","","","","","","uploads/1-s2.0-S0264127521004263-main.pdf","1"
