:START_ID,:END_ID,:type
m0000001,v0000001,Value
m0000001,v0000002,Value
m0000001,v0000003,Value
m0000001,v0000004,Value
m0000001,v0000005,Value
m0000001,v0000006,Value
m0000001,v0000007,Value
m0000001,v0000008,Value
m0000001,v0000009,Value
m0000001,v0000010,Value
m0000001,v0000011,Value
m0000001,v0000012,Value
m0000001,v0000013,Value
