Value:ID,Value,:LABEL
v0000001,110MPa,PerfValue
v0000002,140MPa,PerfValue
v0000003,143MPa,PerfValue
v0000004,152MPa,PerfValue
v0000005,155MPa,PerfValue
v0000006,206MPa,PerfValue
v0000007,290MPa,PerfValue
v0000008,308-321MPa,PerfValue
v0000009,320MPa,PerfValue
v0000010,331MPa,PerfValue
v0000011,340MPa,PerfValue
v0000012,400MPa,PerfValue
v0000013,85-95HV,PerfValue
